; charset=UTF-8
@@	12000	Cuneiform	123FF
@		Signs
12073	CUNEIFORM SIGN DIB
12074	CUNEIFORM SIGN DIM
12075	CUNEIFORM SIGN DIM TIMES SHE
12076	CUNEIFORM SIGN DIM2
12077	CUNEIFORM SIGN DIN
12078	CUNEIFORM SIGN DIN KASKAL U GUNU DISH
12079	CUNEIFORM SIGN DISH
	= 1 diš
	x (cuneiform numeric sign three dish - 12408)
	= 1 bariga
	x (cuneiform numeric sign nigidamin - 12456)
	x (cuneiform numeric sign nigidaesh - 12457)
1207A	CUNEIFORM SIGN DU
1207B	CUNEIFORM SIGN DU OVER DU
1207C	CUNEIFORM SIGN DU GUNU
1207D	CUNEIFORM SIGN DU SHESHIG
1207E	CUNEIFORM SIGN DUB
1207F	CUNEIFORM SIGN DUB TIMES ESH2
12080	CUNEIFORM SIGN DUB2
12081	CUNEIFORM SIGN DUG
12082	CUNEIFORM SIGN DUGUD
12083	CUNEIFORM SIGN DUH
12084	CUNEIFORM SIGN DUN
12085	CUNEIFORM SIGN DUN3
12086	CUNEIFORM SIGN DUN3 GUNU
12087	CUNEIFORM SIGN DUN3 GUNU GUNU
12088	CUNEIFORM SIGN DUN4
12089	CUNEIFORM SIGN DUR2
1208A	CUNEIFORM SIGN E
1208B	CUNEIFORM SIGN E TIMES PAP
1208C	CUNEIFORM SIGN E OVER E NUN OVER NUN
1208D	CUNEIFORM SIGN E2
1208E	CUNEIFORM SIGN E2 TIMES A PLUS HA PLUS DA
1208F	CUNEIFORM SIGN E2 TIMES GAR
12090	CUNEIFORM SIGN E2 TIMES MI
12091	CUNEIFORM SIGN E2 TIMES SAL
12092	CUNEIFORM SIGN E2 TIMES SHE
12093	CUNEIFORM SIGN E2 TIMES U
12094	CUNEIFORM SIGN EDIN
12095	CUNEIFORM SIGN EGIR
12096	CUNEIFORM SIGN EL
12097	CUNEIFORM SIGN EN
12098	CUNEIFORM SIGN EN TIMES GAN2
12099	CUNEIFORM SIGN EN TIMES GAN2 TENU
1209A	CUNEIFORM SIGN EN TIMES ME
1209B	CUNEIFORM SIGN EN CROSSING EN
1209C	CUNEIFORM SIGN EN OPPOSING EN
1209D	CUNEIFORM SIGN EN SQUARED
1209E	CUNEIFORM SIGN EREN
1209F	CUNEIFORM SIGN ERIN2
120A0	CUNEIFORM SIGN ESH2
120A1	CUNEIFORM SIGN EZEN
120A2	CUNEIFORM SIGN EZEN TIMES A
120A3	CUNEIFORM SIGN EZEN TIMES A PLUS LAL
120A4	CUNEIFORM SIGN EZEN TIMES A PLUS LAL TIMES LAL
120A5	CUNEIFORM SIGN EZEN TIMES AN
120A6	CUNEIFORM SIGN EZEN TIMES BAD
120A7	CUNEIFORM SIGN EZEN TIMES DUN3 GUNU
120A8	CUNEIFORM SIGN EZEN TIMES DUN3 GUNU GUNU
120A9	CUNEIFORM SIGN EZEN TIMES HA
120AA	CUNEIFORM SIGN EZEN TIMES HA GUNU
120AB	CUNEIFORM SIGN EZEN TIMES IGI GUNU
120AC	CUNEIFORM SIGN EZEN TIMES KASKAL
120AD	CUNEIFORM SIGN EZEN TIMES KASKAL SQUARED
120AE	CUNEIFORM SIGN EZEN TIMES KU3
120AF	CUNEIFORM SIGN EZEN TIMES LA
120B0	CUNEIFORM SIGN EZEN TIMES LAL TIMES LAL
120B1	CUNEIFORM SIGN EZEN TIMES LI
120B2	CUNEIFORM SIGN EZEN TIMES LU
120B3	CUNEIFORM SIGN EZEN TIMES U2
120B4	CUNEIFORM SIGN EZEN TIMES UD
120B5	CUNEIFORM SIGN GA
120B6	CUNEIFORM SIGN GA GUNU
120B7	CUNEIFORM SIGN GA2
120B8	CUNEIFORM SIGN GA2 TIMES A PLUS DA PLUS HA
120B9	CUNEIFORM SIGN GA2 TIMES A PLUS HA
120BA	CUNEIFORM SIGN GA2 TIMES A PLUS IGI
120BB	CUNEIFORM SIGN GA2 TIMES AB2 TENU PLUS TAB
120BC	CUNEIFORM SIGN GA2 TIMES AN
120BD	CUNEIFORM SIGN GA2 TIMES ASH
120BE	CUNEIFORM SIGN GA2 TIMES ASH2 PLUS GAL
120BF	CUNEIFORM SIGN GA2 TIMES BAD
120C0	CUNEIFORM SIGN GA2 TIMES BAR PLUS RA
120C1	CUNEIFORM SIGN GA2 TIMES BUR
120C2	CUNEIFORM SIGN GA2 TIMES BUR PLUS RA
120C3	CUNEIFORM SIGN GA2 TIMES DA
120C4	CUNEIFORM SIGN GA2 TIMES DI
120C5	CUNEIFORM SIGN GA2 TIMES DIM TIMES SHE
120C6	CUNEIFORM SIGN GA2 TIMES DUB
120C7	CUNEIFORM SIGN GA2 TIMES EL
120C8	CUNEIFORM SIGN GA2 TIMES EL PLUS LA
120C9	CUNEIFORM SIGN GA2 TIMES EN
120CA	CUNEIFORM SIGN GA2 TIMES EN TIMES GAN2 TENU
120CB	CUNEIFORM SIGN GA2 TIMES GAN2 TENU
120CC	CUNEIFORM SIGN GA2 TIMES GAR
120CD	CUNEIFORM SIGN GA2 TIMES GI
120CE	CUNEIFORM SIGN GA2 TIMES GI4
120CF	CUNEIFORM SIGN GA2 TIMES GI4 PLUS A
120D0	CUNEIFORM SIGN GA2 TIMES GIR2 PLUS SU
120D1	CUNEIFORM SIGN GA2 TIMES HA PLUS LU PLUS ESH2
120D2	CUNEIFORM SIGN GA2 TIMES HAL
120D3	CUNEIFORM SIGN GA2 TIMES HAL PLUS LA
120D4	CUNEIFORM SIGN GA2 TIMES HI PLUS LI
120D5	CUNEIFORM SIGN GA2 TIMES HUB2
120D6	CUNEIFORM SIGN GA2 TIMES IGI GUNU
120D7	CUNEIFORM SIGN GA2 TIMES ISH PLUS HU PLUS ASH
120D8	CUNEIFORM SIGN GA2 TIMES KAK
120D9	CUNEIFORM SIGN GA2 TIMES KASKAL
120DA	CUNEIFORM SIGN GA2 TIMES KID
120DB	CUNEIFORM SIGN GA2 TIMES KID PLUS LAL
120DC	CUNEIFORM SIGN GA2 TIMES KU3 PLUS AN
120DD	CUNEIFORM SIGN GA2 TIMES LA
120DE	CUNEIFORM SIGN GA2 TIMES ME PLUS EN
120DF	CUNEIFORM SIGN GA2 TIMES MI
120E0	CUNEIFORM SIGN GA2 TIMES NUN
120E1	CUNEIFORM SIGN GA2 TIMES NUN OVER NUN
120E2	CUNEIFORM SIGN GA2 TIMES PA
120E3	CUNEIFORM SIGN GA2 TIMES SAL
120E4	CUNEIFORM SIGN GA2 TIMES SAR
120E5	CUNEIFORM SIGN GA2 TIMES SHE
120E6	CUNEIFORM SIGN GA2 TIMES SHE PLUS TUR
120E7	CUNEIFORM SIGN GA2 TIMES SHID
120E8	CUNEIFORM SIGN GA2 TIMES SUM
120E9	CUNEIFORM SIGN GA2 TIMES TAK4
120EA	CUNEIFORM SIGN GA2 TIMES U
